id	filename	md5	size	state
c41f1c44-ca21-4d87-917b-4681caea4ab2	TCGA-13-1500-01A-01-TS1.95e6bd03-3d90-44bd-a889-64466383d9fc.svs	6b78fc42e0ee2b42e8551d25886c60ff	514723167	released
5872bcf3-e6c2-4827-97ab-e055de399bae	TCGA-13-1483-01A-01-TS1.da3bd09a-1930-49c2-a2c0-592f45fa3859.svs	ebbc4c90e289c9da70ca940d37bd17c5	403370241	released
757c37c6-eb24-46b3-a2e2-d568b1865144	TCGA-36-1580-01A-01-TS1.b317174e-d87f-4853-bb63-edcaa569f579.svs	27687d4cb56b914131dfd86a41a84ed7	210035233	released
9f6635b6-67bc-4bfc-bd9c-c6c70fd23496	TCGA-29-1701-01A-01-TS1.1e5a96c0-8c8b-49fe-8083-4e9b2248d324.svs	5c341ccc25e6f52bac8ec14fc51bb9b7	101766631	released
1fc9f46a-65e7-4efb-970a-dad8febdee55	TCGA-25-2409-01A-01-TS1.a28f0475-589d-4831-9186-6b955153f5bb.svs	0099f8c58291fd6c66eb61156b5c9958	314600741	released
fea65fc8-7b4a-4b97-a25c-394d5da4302b	TCGA-13-0720-01A-01-TS1.c541bfd4-c049-4fad-ae6d-efc62810bd60.svs	f58746787f0f2d0d63909446bdf4f9c2	410315789	released
8500d569-5b24-4f3a-bae2-b939aa17b787	TCGA-25-1315-01A-01-TS1.617ad1a6-305c-4ca3-b86c-b1de86429a0a.svs	0af56060b3c24556750a955167ac8a6f	482596847	released
3d49d368-0d57-45a3-bf44-01fa9edbbdc6	TCGA-25-2393-01A-01-TS1.a20e3f24-82c2-4886-a478-09dc932809fe.svs	6520d58d4786f4079c2ddeee4d55b27f	192594317	released
69e7d327-d049-42e6-a14a-d9ef25267736	TCGA-29-1703-01A-01-TS1.275260f3-64da-44d8-9488-c53230c4dce2.svs	568bd514ea5e2da7ca8b5e4c13cb2692	135935187	released
07ce8c9c-250c-4c73-ae5e-e622f8e00b90	TCGA-25-2399-01A-01-TS1.cf0cf6b0-d4ab-45d5-a7f1-16823526f35e.svs	e37ad6464e90657af3521fead35b2502	158097921	released
47396dda-531e-47be-9cc3-3ae628ccb2e7	TCGA-24-0980-01A-01-TS1.7eb8d1c5-bb80-48b4-bd87-7374bff12101.svs	d6d8b3f49775562971a69fceb1a3de43	201693903	released
82d0d8e6-e23b-48b0-be28-fedc6abaa2b4	TCGA-24-1928-01A-01-TS1.590660da-409a-4caf-891f-c804870b37ef.svs	a4d8a93b82afaa0511ed6b5b23df313f	295199261	released
